strength,size,separation,noisefrac,mn_sag,mn_sgd,mn_pcpt,mn_passAgr,md_sag,md_sgd,md_pcpt,md_passAgr,var_sag,var_sgd,var_pcpt,var_passAgr
300,100,0.33,0.85,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.33,0.9,0.998333333333,1,1,1,1,1,1,1,2.5E-05,0,0,0
300,100,0.34,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.15,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.25,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.35,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.4,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.45,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.5,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.55,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.65,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.7,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.75,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.8,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.85,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.34,0.9,0.998333333333,1,1,1,1,1,1,1,2.5E-05,0,0,0
300,100,0.35,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.15,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.25,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.35,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.4,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.45,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.5,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.35,0.55,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.65,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.7,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.75,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.35,0.8,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.35,0.85,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.35,0.9,0.998333333333,1,1,1,1,1,1,1,2.5E-05,0,0,0
300,100,0.36,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.15,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.25,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.35,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.4,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.45,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.5,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.55,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.65,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.7,1,1,0.998333333333,1,1,1,1,1,0,0,2.5E-05,0
300,100,0.36,0.75,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.8,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.85,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.36,0.9,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.15,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.25,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.35,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.4,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.45,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.5,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.55,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.65,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.7,1,1,1,1,1,1,1,1,0,0,0,0
